PR-1;P-78;2026-04-18T14:45:47.546813800;2026-04-18T14:46:21.781102300;false;false;cliente1
PR-2;P-76;2026-04-18T14:48:06.496369300;2026-04-18T15:19:55.190518200;false;false;cliente1
PR-3;P-51;2026-04-18T14:54:21.927744500;2026-04-19T23:43:45.349987900;false;false;mesero1
PR-4;P-46;2026-04-18T14:54:43.931732200;;false;true;mesero1
PR-5;P-47;2026-04-18T14:55:36.370744600;;false;true;mesero1
PR-6;P-48;2026-04-18T14:55:46.539026900;;false;true;mesero1
PR-7;P-81;2026-04-18T15:04:08.974555;2026-04-18T15:20:24.191764900;false;false;cliente1
PR-8;P-80;2026-04-18T15:13:17.091786800;;false;true;cliente1
PR-9;P-41;2026-04-18T15:14:25.743374700;;false;true;mesero1
PR-10;P-79;2026-04-19T23:43:28.472436600;;false;true;mesero1
